image,label
Augmented Data/augmented_136.jpg,Bicycle
Augmented Data/augmented_137.jpg,Bicycle
Augmented Data/augmented_138.jpg,Bicycle
Augmented Data/augmented_139.jpg,Bicycle
Augmented Data/augmented_140.jpg,Bicycle
Augmented Data/augmented_141.jpg,Bicycle
Augmented Data/augmented_142.jpg,Bicycle
Augmented Data/augmented_143.jpg,Bicycle
Augmented Data/augmented_144.jpg,Bicycle
Augmented Data/augmented_145.jpg,Bicycle
Augmented Data/augmented_146.jpg,Bicycle
Augmented Data/augmented_147.jpg,Bicycle
Augmented Data/augmented_148.jpg,Bicycle
Augmented Data/augmented_149.jpg,Bicycle
Augmented Data/augmented_150.jpg,Bicycle
Augmented Data/augmented_151.jpg,Bicycle
Augmented Data/augmented_152.jpg,Bicycle
Augmented Data/augmented_153.jpg,Bicycle
Augmented Data/augmented_154.jpg,Bicycle
Augmented Data/augmented_155.jpg,Bicycle
Augmented Data/augmented_156.jpg,Bicycle
Augmented Data/augmented_157.jpg,Bicycle
Augmented Data/augmented_158.jpg,Bicycle
Augmented Data/augmented_159.jpg,Bicycle
Augmented Data/augmented_160.jpg,Bicycle
Augmented Data/augmented_161.jpg,Bicycle
Augmented Data/augmented_162.jpg,Bicycle
Augmented Data/augmented_163.jpg,Bicycle
Augmented Data/augmented_164.jpg,Bicycle
Augmented Data/augmented_165.jpg,Bicycle
Augmented Data/augmented_166.jpg,Bicycle
Augmented Data/augmented_167.jpg,Bicycle
Augmented Data/augmented_168.jpg,Bicycle
Augmented Data/augmented_169.jpg,Bicycle
Augmented Data/augmented_170.jpg,Bicycle
Augmented Data/augmented_171.jpg,Bicycle
Augmented Data/augmented_172.jpg,Bicycle
Augmented Data/augmented_173.jpg,Bicycle
Augmented Data/augmented_174.jpg,Bicycle
Augmented Data/augmented_175.jpg,Bicycle
Augmented Data/augmented_176.jpg,Bicycle
Augmented Data/augmented_177.jpg,Bicycle
Augmented Data/augmented_178.jpg,Bicycle
Augmented Data/augmented_179.jpg,Bicycle
Augmented Data/augmented_180.jpg,Bicycle
Augmented Data/augmented_181.jpg,Bicycle
Augmented Data/augmented_182.jpg,Bicycle
Augmented Data/augmented_183.jpg,Bicycle
Augmented Data/augmented_184.jpg,Bicycle
Augmented Data/augmented_185.jpg,Bicycle
Augmented Data/augmented_186.jpg,Bicycle
Augmented Data/augmented_187.jpg,Bicycle
Augmented Data/augmented_188.jpg,Bicycle
Augmented Data/augmented_189.jpg,Bicycle
Augmented Data/augmented_190.jpg,Bicycle
Augmented Data/augmented_191.jpg,Bicycle
Augmented Data/augmented_192.jpg,Bicycle
Augmented Data/augmented_193.jpg,Bicycle
Augmented Data/augmented_194.jpg,Bicycle
Augmented Data/augmented_195.jpg,Bicycle
Augmented Data/augmented_196.jpg,Bicycle
Augmented Data/augmented_197.jpg,Bicycle
Augmented Data/augmented_198.jpg,Bicycle
Augmented Data/augmented_199.jpg,Bicycle
Augmented Data/augmented_200.jpg,Bicycle
Augmented Data/augmented_201.jpg,Bicycle
Augmented Data/augmented_202.jpg,Bicycle
Augmented Data/augmented_203.jpg,Bicycle
Augmented Data/augmented_204.jpg,Bicycle
Augmented Data/augmented_205.jpg,Bicycle
Augmented Data/augmented_206.jpg,Bicycle
Augmented Data/augmented_207.jpg,Bicycle
Augmented Data/augmented_208.jpg,Bicycle
Augmented Data/augmented_209.jpg,Bicycle
Augmented Data/augmented_210.jpg,Bicycle
Augmented Data/augmented_211.jpg,Bicycle
Augmented Data/augmented_212.jpg,Bicycle
Augmented Data/augmented_213.jpg,Bicycle
Augmented Data/augmented_214.jpg,Bicycle
Augmented Data/augmented_215.jpg,Bicycle
Augmented Data/augmented_216.jpg,Bicycle
Augmented Data/augmented_217.jpg,Bicycle
Augmented Data/augmented_218.jpg,Bicycle
Augmented Data/augmented_219.jpg,Bicycle
Augmented Data/augmented_220.jpg,Bicycle
Augmented Data/augmented_221.jpg,Bicycle
Augmented Data/augmented_222.jpg,Bicycle
Augmented Data/augmented_223.jpg,Bicycle
Augmented Data/augmented_224.jpg,Bicycle
Augmented Data/augmented_225.jpg,Bicycle
Augmented Data/augmented_226.jpg,Bicycle
Augmented Data/augmented_227.jpg,Bicycle
Augmented Data/augmented_228.jpg,Bicycle
Augmented Data/augmented_229.jpg,Bicycle
Augmented Data/augmented_230.jpg,Bicycle
Augmented Data/augmented_231.jpg,Bicycle
Augmented Data/augmented_232.jpg,Bicycle
Augmented Data/augmented_233.jpg,Bicycle
Augmented Data/augmented_234.jpg,Bicycle
Augmented Data/augmented_235.jpg,Bicycle
Augmented Data/augmented_236.jpg,Bicycle
Augmented Data/augmented_237.jpg,Bicycle
Augmented Data/augmented_238.jpg,Bicycle
Augmented Data/augmented_239.jpg,Bicycle
Augmented Data/augmented_240.jpg,Bicycle
Augmented Data/augmented_241.jpg,Bicycle
Augmented Data/augmented_242.jpg,Bicycle
Augmented Data/augmented_243.jpg,Bicycle
Augmented Data/augmented_244.jpg,Bicycle
Augmented Data/augmented_245.jpg,Bicycle
Augmented Data/augmented_246.jpg,Bicycle
Augmented Data/augmented_247.jpg,Bicycle
Augmented Data/augmented_248.jpg,Bicycle
Augmented Data/augmented_249.jpg,Bicycle
Augmented Data/augmented_250.jpg,Bicycle
Augmented Data/augmented_251.jpg,Bicycle
Augmented Data/augmented_252.jpg,Bicycle
Augmented Data/augmented_253.jpg,Bicycle
Augmented Data/augmented_254.jpg,Bicycle
Augmented Data/augmented_255.jpg,Bicycle
Augmented Data/augmented_256.jpg,Bicycle
Augmented Data/augmented_257.jpg,Bicycle
Augmented Data/augmented_258.jpg,Bicycle
Augmented Data/augmented_259.jpg,Bicycle
Augmented Data/augmented_260.jpg,Bicycle
Augmented Data/augmented_261.jpg,Bicycle
Augmented Data/augmented_262.jpg,Bicycle
Augmented Data/augmented_263.jpg,Bicycle
Augmented Data/augmented_264.jpg,Bicycle
Augmented Data/augmented_265.jpg,Bicycle
Augmented Data/augmented_266.jpg,Bicycle
Augmented Data/augmented_267.jpg,Bicycle
Augmented Data/augmented_268.jpg,Bicycle
Augmented Data/augmented_269.jpg,Bicycle
Augmented Data/augmented_270.jpg,Bicycle
Augmented Data/augmented_271.jpg,Bicycle
Augmented Data/augmented_272.jpg,Bicycle
Augmented Data/augmented_273.jpg,Bicycle
Augmented Data/augmented_274.jpg,Bicycle
Augmented Data/augmented_275.jpg,Bicycle
Augmented Data/augmented_276.jpg,Bicycle
Augmented Data/augmented_277.jpg,Bicycle
Augmented Data/augmented_278.jpg,Bicycle
Augmented Data/augmented_279.jpg,Bicycle
Augmented Data/augmented_280.jpg,Bicycle
Augmented Data/augmented_281.jpg,Bicycle
Augmented Data/augmented_282.jpg,Bicycle
Augmented Data/augmented_283.jpg,Bicycle
Augmented Data/augmented_284.jpg,Bicycle
Augmented Data/augmented_285.jpg,Bicycle
Augmented Data/augmented_286.jpg,Bicycle
Augmented Data/augmented_287.jpg,Bicycle
Augmented Data/augmented_288.jpg,Bicycle
Augmented Data/augmented_289.jpg,Bicycle
Augmented Data/augmented_290.jpg,Bicycle
Augmented Data/augmented_291.jpg,Bicycle
Augmented Data/augmented_292.jpg,Bicycle
Augmented Data/augmented_293.jpg,Bicycle
Augmented Data/augmented_294.jpg,Bicycle
Augmented Data/augmented_295.jpg,Bicycle
Augmented Data/augmented_296.jpg,Bicycle
Augmented Data/augmented_297.jpg,Bicycle
Augmented Data/augmented_298.jpg,Bicycle
Augmented Data/augmented_299.jpg,Bicycle
Augmented Data/augmented_300.jpg,Bicycle
Augmented Data/augmented_301.jpg,Bicycle
Augmented Data/augmented_302.jpg,Bicycle
Augmented Data/augmented_303.jpg,Bicycle
Augmented Data/augmented_304.jpg,Bicycle
Augmented Data/augmented_305.jpg,Bicycle
Augmented Data/augmented_306.jpg,Bicycle
Augmented Data/augmented_307.jpg,Bicycle
Augmented Data/augmented_308.jpg,Bicycle
Augmented Data/augmented_309.jpg,Bicycle
Augmented Data/augmented_310.jpg,Bicycle
Augmented Data/augmented_311.jpg,Bicycle
Augmented Data/augmented_312.jpg,Bicycle
Augmented Data/augmented_313.jpg,Bicycle
Augmented Data/augmented_314.jpg,Bicycle
Augmented Data/augmented_315.jpg,Bicycle
Augmented Data/augmented_316.jpg,Bicycle
Augmented Data/augmented_317.jpg,Bicycle
Augmented Data/augmented_318.jpg,Bicycle
Augmented Data/augmented_319.jpg,Bicycle
Augmented Data/augmented_320.jpg,Bicycle
Augmented Data/augmented_321.jpg,Bicycle
Augmented Data/augmented_322.jpg,Bicycle
Augmented Data/augmented_323.jpg,Bicycle
Augmented Data/augmented_324.jpg,Bicycle
Augmented Data/augmented_325.jpg,Bicycle
Augmented Data/augmented_326.jpg,Bicycle
Augmented Data/augmented_327.jpg,Bicycle
Augmented Data/augmented_328.jpg,Bicycle
Augmented Data/augmented_329.jpg,Bicycle
Augmented Data/augmented_330.jpg,Bicycle
Augmented Data/augmented_331.jpg,Bicycle
Augmented Data/augmented_332.jpg,Bicycle
Augmented Data/augmented_333.jpg,Bicycle
Augmented Data/augmented_334.jpg,Bicycle
Augmented Data/augmented_335.jpg,Bicycle
Augmented Data/augmented_336.jpg,Bicycle
Augmented Data/augmented_337.jpg,Bicycle
Augmented Data/augmented_338.jpg,Bicycle
Augmented Data/augmented_339.jpg,Bicycle
Augmented Data/augmented_340.jpg,Bicycle
Augmented Data/augmented_341.jpg,Bicycle
Augmented Data/augmented_342.jpg,Bicycle
Augmented Data/augmented_343.jpg,Bicycle
Augmented Data/augmented_344.jpg,Bicycle
Augmented Data/augmented_345.jpg,Bicycle
Augmented Data/augmented_346.jpg,Bicycle
Augmented Data/augmented_347.jpg,Bicycle
Augmented Data/augmented_348.jpg,Bicycle
Augmented Data/augmented_349.jpg,Bicycle
Augmented Data/augmented_350.jpg,Bicycle
Augmented Data/augmented_351.jpg,Bicycle
Augmented Data/augmented_352.jpg,Bicycle
Augmented Data/augmented_353.jpg,Bicycle
Augmented Data/augmented_354.jpg,Bicycle
Augmented Data/augmented_355.jpg,Bicycle
Augmented Data/augmented_356.jpg,Bicycle
Augmented Data/augmented_357.jpg,Bicycle
Augmented Data/augmented_358.jpg,Bicycle
Augmented Data/augmented_359.jpg,Bicycle
Augmented Data/augmented_360.jpg,Bicycle
Augmented Data/augmented_361.jpg,Bicycle
Augmented Data/augmented_362.jpg,Bicycle
Augmented Data/augmented_363.jpg,Bicycle
Augmented Data/augmented_364.jpg,Bicycle
Augmented Data/augmented_365.jpg,Bicycle
Augmented Data/augmented_366.jpg,Bicycle
Augmented Data/augmented_367.jpg,Bicycle
Augmented Data/augmented_368.jpg,Bicycle
Augmented Data/augmented_369.jpg,Bicycle
Augmented Data/augmented_370.jpg,Bicycle
Augmented Data/augmented_371.jpg,Bicycle
Augmented Data/augmented_372.jpg,Bicycle
Augmented Data/augmented_373.jpg,Bicycle
Augmented Data/augmented_374.jpg,Bicycle
Augmented Data/augmented_375.jpg,Bicycle
Augmented Data/augmented_376.jpg,Bicycle
Augmented Data/augmented_377.jpg,Bicycle
Augmented Data/augmented_378.jpg,Bicycle
Augmented Data/augmented_379.jpg,Bicycle
Augmented Data/augmented_380.jpg,Bicycle
Augmented Data/augmented_381.jpg,Bicycle
Augmented Data/augmented_382.jpg,Bicycle
Augmented Data/augmented_383.jpg,Bicycle
Augmented Data/augmented_384.jpg,Bicycle
Augmented Data/augmented_385.jpg,Bicycle
Augmented Data/augmented_386.jpg,Bicycle
Augmented Data/augmented_387.jpg,Bicycle
Augmented Data/augmented_388.jpg,Bicycle
Augmented Data/augmented_389.jpg,Bicycle
Augmented Data/augmented_390.jpg,Bicycle
Augmented Data/augmented_391.jpg,Bicycle
Augmented Data/augmented_392.jpg,Bicycle
Augmented Data/augmented_393.jpg,Bicycle
Augmented Data/augmented_394.jpg,Bicycle
Augmented Data/augmented_395.jpg,Bicycle
Augmented Data/augmented_396.jpg,Bicycle
Augmented Data/augmented_397.jpg,Bicycle
Augmented Data/augmented_398.jpg,Bicycle
Augmented Data/augmented_399.jpg,Bicycle
Augmented Data/augmented_400.jpg,Bicycle
Augmented Data/augmented_401.jpg,Bicycle
Augmented Data/augmented_402.jpg,Bicycle
Augmented Data/augmented_403.jpg,Bicycle
Augmented Data/augmented_404.jpg,Bicycle
Augmented Data/augmented_405.jpg,Bicycle
Augmented Data/augmented_406.jpg,Bicycle
Augmented Data/augmented_407.jpg,Bicycle
Augmented Data/augmented_408.jpg,Bicycle
Augmented Data/augmented_409.jpg,Bicycle
Augmented Data/augmented_410.jpg,Bicycle
Augmented Data/augmented_411.jpg,Bicycle
Augmented Data/augmented_412.jpg,Bicycle
Augmented Data/augmented_413.jpg,Bicycle
Augmented Data/augmented_414.jpg,Bicycle
Augmented Data/augmented_415.jpg,Bicycle
Augmented Data/augmented_416.jpg,Bicycle
Augmented Data/augmented_417.jpg,Bicycle
Augmented Data/augmented_418.jpg,Bicycle
Augmented Data/augmented_419.jpg,Bicycle
Augmented Data/augmented_420.jpg,Bicycle
Augmented Data/augmented_421.jpg,Bicycle
Augmented Data/augmented_422.jpg,Bicycle
Augmented Data/augmented_423.jpg,Bicycle
Augmented Data/augmented_424.jpg,Bicycle
Augmented Data/augmented_425.jpg,Bicycle
Augmented Data/augmented_426.jpg,Bicycle
Augmented Data/augmented_427.jpg,Bicycle
Augmented Data/augmented_428.jpg,Bicycle
Augmented Data/augmented_429.jpg,Bicycle
Augmented Data/augmented_430.jpg,Bicycle
Augmented Data/augmented_431.jpg,Bicycle
Augmented Data/augmented_432.jpg,Bicycle
Augmented Data/augmented_433.jpg,Bicycle
Augmented Data/augmented_434.jpg,Bicycle
Augmented Data/augmented_435.jpg,Bicycle
Augmented Data/augmented_436.jpg,Bicycle
Augmented Data/augmented_437.jpg,Bicycle
Augmented Data/augmented_438.jpg,Bicycle
Augmented Data/augmented_439.jpg,Bicycle
Augmented Data/augmented_440.jpg,Bicycle
Augmented Data/augmented_441.jpg,Bicycle
Augmented Data/augmented_442.jpg,Bicycle
Augmented Data/augmented_443.jpg,Bicycle
Augmented Data/augmented_444.jpg,Bicycle
Augmented Data/augmented_445.jpg,Bicycle
Augmented Data/augmented_446.jpg,Bicycle
Augmented Data/augmented_447.jpg,Bicycle
Augmented Data/augmented_448.jpg,Bicycle
Augmented Data/augmented_449.jpg,Bicycle
Augmented Data/augmented_450.jpg,Bicycle
Augmented Data/augmented_451.jpg,Bicycle
Augmented Data/augmented_452.jpg,Bicycle
Augmented Data/augmented_453.jpg,Bicycle
Augmented Data/augmented_454.jpg,Bicycle
Augmented Data/augmented_455.jpg,Bicycle
Augmented Data/augmented_456.jpg,Bicycle
Augmented Data/augmented_457.jpg,Bicycle
Augmented Data/augmented_458.jpg,Bicycle
Augmented Data/augmented_459.jpg,Bicycle
Augmented Data/augmented_460.jpg,Bicycle
Augmented Data/augmented_461.jpg,Bicycle
Augmented Data/augmented_462.jpg,Bicycle
Augmented Data/augmented_463.jpg,Bicycle
Augmented Data/augmented_464.jpg,Bicycle
Augmented Data/augmented_465.jpg,Bicycle
Augmented Data/augmented_466.jpg,Bicycle
Augmented Data/augmented_467.jpg,Bicycle
Augmented Data/augmented_468.jpg,Bicycle
Augmented Data/augmented_469.jpg,Bicycle
Augmented Data/augmented_470.jpg,Bicycle
Augmented Data/augmented_471.jpg,Bicycle
Augmented Data/augmented_472.jpg,Bicycle
Augmented Data/augmented_473.jpg,Bicycle
Augmented Data/augmented_474.jpg,Bicycle
Augmented Data/augmented_475.jpg,Bicycle
Augmented Data/augmented_476.jpg,Bicycle
Augmented Data/augmented_477.jpg,Bicycle
Augmented Data/augmented_478.jpg,Bicycle
Augmented Data/augmented_479.jpg,Bicycle
Augmented Data/augmented_480.jpg,Bicycle
Augmented Data/augmented_481.jpg,Bicycle
Augmented Data/augmented_482.jpg,Bicycle
Augmented Data/augmented_483.jpg,Bicycle
Augmented Data/augmented_484.jpg,Bicycle
Augmented Data/augmented_485.jpg,Bicycle
Augmented Data/augmented_486.jpg,Bicycle
Augmented Data/augmented_487.jpg,Bicycle
Augmented Data/augmented_488.jpg,Bicycle
Augmented Data/augmented_489.jpg,Bicycle
Augmented Data/augmented_490.jpg,Bicycle
Augmented Data/augmented_491.jpg,Bicycle
Augmented Data/augmented_492.jpg,Bicycle
Augmented Data/augmented_493.jpg,Bicycle
Augmented Data/augmented_494.jpg,Bicycle
Augmented Data/augmented_495.jpg,Bicycle
Augmented Data/augmented_496.jpg,Bicycle
Augmented Data/augmented_497.jpg,Bicycle
Augmented Data/augmented_498.jpg,Bicycle
Augmented Data/augmented_499.jpg,Bicycle
Augmented Data/augmented_500.jpg,Bicycle
Augmented Data/augmented_501.jpg,Bicycle
Augmented Data/augmented_502.jpg,Bicycle
Augmented Data/augmented_503.jpg,Bicycle
Augmented Data/augmented_504.jpg,Bicycle
Augmented Data/augmented_505.jpg,Bicycle
Augmented Data/augmented_506.jpg,Bicycle
Augmented Data/augmented_507.jpg,Bicycle
Augmented Data/augmented_508.jpg,Bicycle
Augmented Data/augmented_509.jpg,Bicycle
Augmented Data/augmented_510.jpg,Bicycle
Augmented Data/augmented_511.jpg,Bicycle
Augmented Data/augmented_512.jpg,Bicycle
Augmented Data/augmented_513.jpg,Bicycle
Augmented Data/augmented_514.jpg,Bicycle
Augmented Data/augmented_515.jpg,Bicycle
Augmented Data/augmented_516.jpg,Bicycle
Augmented Data/augmented_517.jpg,Bicycle
Augmented Data/augmented_518.jpg,Bicycle
Augmented Data/augmented_519.jpg,Bicycle
Augmented Data/augmented_520.jpg,Bicycle
Augmented Data/augmented_521.jpg,Bicycle
Augmented Data/augmented_522.jpg,Bicycle
Augmented Data/augmented_523.jpg,Bicycle
Augmented Data/augmented_524.jpg,Bicycle
Augmented Data/augmented_525.jpg,Bicycle
Augmented Data/augmented_526.jpg,Bicycle
Augmented Data/augmented_527.jpg,Bicycle
Augmented Data/augmented_528.jpg,Bicycle
Augmented Data/augmented_529.jpg,Bicycle
Augmented Data/augmented_530.jpg,Bicycle
Augmented Data/augmented_531.jpg,Bicycle
Augmented Data/augmented_532.jpg,Bicycle
Augmented Data/augmented_533.jpg,Bicycle
Augmented Data/augmented_534.jpg,Bicycle
Augmented Data/augmented_535.jpg,Bicycle
Augmented Data/augmented_536.jpg,Bicycle
Augmented Data/augmented_537.jpg,Bicycle
Augmented Data/augmented_538.jpg,Bicycle
Augmented Data/augmented_539.jpg,Bicycle
Augmented Data/augmented_540.jpg,Bicycle
Augmented Data/augmented_541.jpg,Bicycle
Augmented Data/augmented_542.jpg,Bicycle
Augmented Data/augmented_543.jpg,Bicycle
Augmented Data/augmented_544.jpg,Bicycle
Augmented Data/augmented_545.jpg,Bicycle
Augmented Data/augmented_546.jpg,Bicycle
Augmented Data/augmented_547.jpg,Bicycle
Augmented Data/augmented_548.jpg,Bicycle
Augmented Data/augmented_549.jpg,Bicycle
Augmented Data/augmented_550.jpg,Bicycle
Augmented Data/augmented_551.jpg,Bicycle
Augmented Data/augmented_552.jpg,Bicycle
Augmented Data/augmented_553.jpg,Bicycle
Augmented Data/augmented_554.jpg,Bicycle
Augmented Data/augmented_555.jpg,Bicycle
Augmented Data/augmented_556.jpg,Bicycle
Augmented Data/augmented_557.jpg,Bicycle
Augmented Data/augmented_558.jpg,Bicycle
Augmented Data/augmented_559.jpg,Bicycle
Augmented Data/augmented_560.jpg,Bicycle
Augmented Data/augmented_561.jpg,Bicycle
Augmented Data/augmented_562.jpg,Bicycle
Augmented Data/augmented_563.jpg,Bicycle
Augmented Data/augmented_564.jpg,Bicycle
Augmented Data/augmented_565.jpg,Bicycle
Augmented Data/augmented_566.jpg,Bicycle
Augmented Data/augmented_567.jpg,Bicycle
Augmented Data/augmented_568.jpg,Bicycle
Augmented Data/augmented_569.jpg,Bicycle
Augmented Data/augmented_570.jpg,Bicycle
Augmented Data/augmented_571.jpg,Bicycle
Augmented Data/augmented_572.jpg,Bicycle
Augmented Data/augmented_573.jpg,Bicycle
Augmented Data/augmented_574.jpg,Bicycle
Augmented Data/augmented_575.jpg,Bicycle
Augmented Data/augmented_576.jpg,Bicycle
Augmented Data/augmented_577.jpg,Bicycle
Augmented Data/augmented_578.jpg,Bicycle
Augmented Data/augmented_579.jpg,Bicycle
Augmented Data/augmented_580.jpg,Bicycle
Augmented Data/augmented_581.jpg,Bicycle
Augmented Data/augmented_582.jpg,Bicycle
Augmented Data/augmented_583.jpg,Bicycle
Augmented Data/augmented_584.jpg,Bicycle
Augmented Data/augmented_585.jpg,Bicycle
Augmented Data/augmented_586.jpg,Bicycle
Augmented Data/augmented_587.jpg,Bicycle
Augmented Data/augmented_588.jpg,Bicycle
Augmented Data/augmented_589.jpg,Bicycle
Augmented Data/augmented_590.jpg,Bicycle
Augmented Data/augmented_591.jpg,Bicycle
Augmented Data/augmented_592.jpg,Bicycle
Augmented Data/augmented_593.jpg,Bicycle
Augmented Data/augmented_594.jpg,Bicycle
Augmented Data/augmented_595.jpg,Bicycle
Augmented Data/augmented_596.jpg,Bicycle
Augmented Data/augmented_597.jpg,Bicycle
Augmented Data/augmented_598.jpg,Bicycle
Augmented Data/augmented_599.jpg,Bicycle
Augmented Data/augmented_600.jpg,Bicycle
Augmented Data/augmented_601.jpg,Bicycle
Augmented Data/augmented_602.jpg,Bicycle
Augmented Data/augmented_603.jpg,Bicycle
Augmented Data/augmented_604.jpg,Bicycle
Augmented Data/augmented_605.jpg,Bicycle
Augmented Data/augmented_606.jpg,Bicycle
Augmented Data/augmented_607.jpg,Bicycle
